"ID","NAME","COUNTRY","SUBREGION","LOCATION","YEAR","ADJ_TOTAL_DAMAGE"
"2004-0448-USA","Gaston","United States of America","Northern America","Richmond, Lynchburg, Chesterfield districts (Virginia province), South Carolina, North Carolina provinces",2004,100.823
"2004-0455-BHS","Frances","Bahamas","Latin America and the Caribbean","Abacos, Andros, Berry Islands, Bimini, Eleuthera, Grand Bahama, New Providence islands (Administrative unit not available)",2004,1613.174
"2004-0455-DOM","Frances","Dominican Republic","Latin America and the Caribbean","Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",2004,NA
"2004-0455-PRI","Frances","Puerto Rico","Latin America and the Caribbean","Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",2004,NA
"2004-0455-TCA","Frances","Turks and Caicos Islands","Latin America and the Caribbean","Grand Turk, Providenciales and West Caicos provinces",2004,NA
"2004-0455-USA","Frances","United States of America","Northern America","Martin, Palm Beach districts (Florida province), North Carolina, South Carolina, Ohio provinces",2004,17744.916
"2004-0462-BHS","Ivan","Bahamas","Latin America and the Caribbean",NA,2004,NA
"2004-0462-BRB","Ivan","Barbados","Latin America and the Caribbean","St. Andrew, St. George, St. James, St. John, St. Joseph, St. Lucy, St. Michael, St. Peter, St. Philip, St. Thomas, Christ Church provinces",2004,8.066
"2004-0462-CUB","Ivan","Cuba","Latin America and the Caribbean","Pinar del Rio, La Habana, Ciudad De La Habana, Matanzas, Villa Clara, Cienfuegos, Sancti Spiritus, Isla de la Juventud, Ciego de Avila, Santiago de Cuba provinces",2004,322.635
"2004-0462-CYM","Ivan","Cayman Islands","Latin America and the Caribbean","Grand Cayman province",2004,5533.317
"2004-0462-DOM","Ivan","Dominican Republic","Latin America and the Caribbean","Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",2004,1.613
"2004-0462-GRD","Ivan","Grenada","Latin America and the Caribbean","Name Unknown, St. Andrew's, St. George's, St. John's, St. Mark's, St. Patrick's provinces",2004,1434.112
"2004-0462-HTI","Ivan","Haiti","Latin America and the Caribbean","Cap-Haitien district (Nord province), Cayes district (Sud province)",2004,1.613
"2004-0462-JAM","Ivan","Jamaica","Latin America and the Caribbean","Clarendon, Westmoreland, Saint Catherine, Saint Elizabeth, Saint Thomas, Saint Ann, Trelawny, Saint Andrew And Kingston provinces",2004,959.839
